Name,Date (Galactic Calendar),Type,Release date,3D timeline,Status,Link,Remarks
Thrawn: Treason,1 BBY,Novel,2019,,-,Link,Before Rebels finale
Guardians of the Whills,0 BBY,Novel,2017,,-,Link,Roughly 6 months before Rogue One
Rogue One,0 BBY,Movie,2016,,Completed,,
Age of Rebellion - Grand Moff Tarkin,0 BBY,Comic,2019,,,Link,
★ Episode IV: A New Hope,0 BBY,Movie,1977,,Completed,Link,
Tales from Vader's Castle,0 BBY - 4 ABY,Comic,2018,,-,Link,Both collected in: Star Wars Adventures: Beware Vader's Castle
Return to Vader's Castle,0 BBY - 4 ABY,Comic,2019,,-,Link,
Smuggler's Run: A Han Solo & Chewbacca Adventure,0 ABY,Junior Novel,2015,,,Link,
Age of Rebellion - Han Solo,0 ABY,Comic,2019,,,Link,
Princess Leia,0 ABY,Comic,2015,,,Link,
Chewbacca,0 ABY,Comic,2015,,,Link,
Han Solo,0 ABY,Comic,2016,,,Link,
Lando,0 ABY,Comic,2015,,,Link,
Darth Vader,0 ABY,Comic,2015,,,Link,
Battlefront II: Inferno Squad,0 ABY,Novel,2017,,,Link,
Heir to the Jedi,0 ABY,Novel,2015,,-,Link,
The Weapon of a Jedi: A Luke Skywalker Adventure,0 ABY,Junior Novel,2015,,,Link,
Star Wars (Marvel 2015),0 - 3 ABY,Comic,2015,,,Link,
Age of Rebellion - Lando Calrissian,0 - 3 ABY,Comic,2019,,,Link,
Doctor Aphra,1 - 3 ABY,Comic,2016,,,Link,
Target Vader,3 ABY,Comic,2019,,,Link,Before the Battle of Hoth
★ Episode V: The Empire Strikes Back,3 ABY,Movie,1980,,Completed,,
"Age of Rebellion Special - ""The Trial of Dagobah""",3 ABY,Comic,2019,,,Link,Age of Rebellion Special
Star Wars (Marvel 2020),3 ABY,Comic,2020,,-,Link,
Darth Vader (2020),3 ABY,Comic,2020,,,Link,
Bounty Hunters,3 ABY,Comic,2020,,,Link,
Doctor Aphra (2020),3 - 4 ABY,Comic,2020,,,Link,Between V and VI
Battlefront: Twilight Company,3 ABY,Novel,2015,,,Link,"Main events in 3ABY, also has events in 6, 4, 0 BBY"
Age of Resistance Special: The Bridge,2 BBY - 4 ABY,Comic,2019,,,Link,
Moving Target: A Princess Leia Adventure,4 ABY,Junior Novel,2015,,,Link,"set between The Empire Strikes Back and Return of the Jedi,  after battle of endor"
Age of Rebellion - Luke Skywalker,4 ABY,Comic,2019,,,Link,
Age of Rebellion - Princess Leia,4 ABY,Comic,2019,,,Link,
★ Episode VI: Return of the Jedi,4 ABY,Movie,1983,,June 27,,
TIE Fighter (*),3 - 4 ABY,Comic,2019,,,Link,Timeline to be confirmed
Alphabet Squadron,4 ABY,Novel,2019,,,Link,Crosses over with TIE Figher series
Aftermath,4 ABY,Novel,2015,,,Link,
Uprising,4 - 5 ABY,Game,2015,,,Link,Mobile game
"Squadrons: ""Hunted""",4 ABY,Short,2020,,,Link,CG short
Squadrons,4 ABY,Game,2020,,,Link,Prologue happens after the destruction of Alderaan
Shattered Empire,4 - 5 ABY,Comic,2015,,,Link,
Battlefront II (DICE),4 - 5 ABY,Game,2017,,-,Link,Iden Versio's story
Shadow Fall,5 ABY,Novel,2020,,,Link,
Aftermath: Life Debt,5 ABY,Novel,2016,,,Link,
Victory's Price,5 ABY,Novel,2021,,,Link,
Aftermath: Empire's End,5 ABY,Novel,2017,,,Link,
Age of Resistance Special: Maz's Scoundrels,4 BBY - 7 ABY,Comic,2019,,,Link,
Last Shot,7 ABY,Novel,2018,,,Link,
The Mandalorian,9 ABY,Series,2019,,August,,
Poe Dameron: Free Fall,18 ABY,Novel,2020,,,Link,
Bloodline,28 ABY,Novel,2016,,,Link,
The Rise of Kylo Ren,28 ABY,Comic,2019,,,Link,
Age of Resistance: Rose Tico,28 - 34 ABY,Comic,2019,,,Link,
Age of Resistance: Supreme Leader Snoke,28 - 34 ABY,Comic,2019,,,Link,
Age of Resistance: Finn,29 - 34 ABY,Comic,2019,,,Link,
Age of Resistance: Captain Phasma,29 - 34 ABY,Comic,2019,,,Link,
Age of Resistance: General Hux,29 - 34 ABY,Comic,2019,,,Link,
Age of Resistance: Kylo Ren,29 - 34 ABY,Comic,2019,,,Link,
Age of Resistance: Poe Dameron,30 - 31 ABY,Comic,2019,,,Link,
Resistance,34 ABY,Series,2018-2020,,August,,
Age of Resistance Special: Robot Resistance,31 - 35 ABY,Comic,2019,,,Link,Story of BB8
★ Episode VII: The Force Awakens,34-35 ABY,Movie,2015,,July 4,,
Battlefront II: Resurrection,34 ABY,Game,,,,,
Age of Resistance: Rey,34 ABY,Comic,2019,,,Link,
★ Episode VIII: The Last Jedi,34 ABY,Movie,2017,,July 11,,
★ Episode IX: The Rise of Skywalker,35 ABY,Movie,2019,,July 18,,
